model,created,updated,downloads,likes,parameters
facebook/roberta-hate-speech-dynabench-r4-target,2022-06-10 22:24:39+00:00,2023-03-16 20:03:57+00:00,483991,54,124647684
cross-encoder/ms-marco-TinyBERT-L-2-v2,2022-03-02 23:29:05+00:00,2021-08-05 08:39:45+00:00,462993,15,0
Hate-speech-CNERG/english-abusive-MuRIL,2022-04-26 19:19:05+00:00,2023-03-19 13:28:03+00:00,424982,6,237558274
Hate-speech-CNERG/tamil-codemixed-abusive-MuRIL,2022-04-25 12:10:58+00:00,2022-05-03 08:52:47+00:00,414004,0,0
marieke93/MiniLM-evidence-types,2022-06-07 14:19:25+00:00,2022-06-11 13:32:27+00:00,389766,18,0
cross-encoder/ms-marco-MiniLM-L-12-v2,2022-03-02 23:29:05+00:00,2021-08-05 08:39:01+00:00,385522,55,0
siebert/sentiment-roberta-large-english,2022-03-02 23:29:05+00:00,2024-06-11 16:40:11+00:00,351065,109,0
yiyanghkust/finbert-tone,2022-03-02 23:29:05+00:00,2022-10-17 00:35:39+00:00,335593,141,0
madhurjindal/autonlp-Gibberish-Detector-492513457,2022-03-02 23:29:05+00:00,2024-06-17 06:31:08+00:00,312382,44,66956548
JungleLee/bert-toxic-comment-classification,2023-03-10 14:15:46+00:00,2023-03-28 08:07:53+00:00,308748,11,0
vibhorag101/roberta-base-suicide-prediction-phr,2023-11-24 17:36:11+00:00,2024-03-16 16:33:00+00:00,307938,7,0
textattack/bert-base-uncased-imdb,2022-03-02 23:29:05+00:00,2021-05-20 07:42:02+00:00,291906,5,0
davebulaval/MeaningBERT,2023-11-14 01:15:53+00:00,2024-03-24 01:17:22+00:00,291708,1,109483009
prithivida/parrot_adequacy_model,2022-05-27 02:04:37+00:00,2022-05-27 02:47:22+00:00,290580,7,0
ElKulako/cryptobert,2022-06-20 02:29:26+00:00,2024-01-31 14:40:37+00:00,263685,89,0
oliverguhr/german-sentiment-bert,2022-03-02 23:29:05+00:00,2023-03-16 18:09:30+00:00,240996,51,109083651
unitary/toxic-bert,2022-03-02 23:29:05+00:00,2024-03-13 17:41:49+00:00,238209,126,109487366
cross-encoder/ms-marco-MiniLM-L-2-v2,2022-03-02 23:29:05+00:00,2021-08-05 08:39:25+00:00,205916,2,0
microsoft/deberta-xlarge-mnli,2022-03-02 23:29:05+00:00,2022-06-27 15:47:33+00:00,196975,17,0
openai-community/roberta-large-openai-detector,2022-03-02 23:29:04+00:00,2024-04-10 09:56:29+00:00,185769,18,356411394
AdamCodd/distilbert-base-uncased-finetuned-sentiment-amazon,2023-10-06 23:02:11+00:00,2023-11-10 17:35:29+00:00,172189,5,0
bhadresh-savani/distilbert-base-uncased-emotion,2022-03-02 23:29:05+00:00,2023-03-22 08:44:05+00:00,171378,107,0
alisawuffles/roberta-large-wanli,2022-03-30 20:00:10+00:00,2023-06-14 04:58:48+00:00,142198,8,355363333
Alireza1044/albert-base-v2-mnli,2022-03-02 23:29:04+00:00,2021-07-27 21:10:33+00:00,140073,0,0
prithivida/parrot_fluency_model,2022-05-27 02:04:04+00:00,2022-06-24 09:54:04+00:00,137085,1,0
safepaca/absolute-harmfulness-predictor-redteam,2023-09-25 15:22:45+00:00,2023-09-25 15:27:38+00:00,117636,0,0
ivanresh/TweetCat,2024-07-12 11:44:15+00:00,2024-07-25 09:12:02+00:00,116984,0,124648708
vectara/hallucination_evaluation_model,2023-10-25 19:03:42+00:00,2024-07-27 11:47:53+00:00,114698,185,109630082
cross-encoder/stsb-TinyBERT-L-4,2022-03-02 23:29:05+00:00,2021-08-05 08:41:47+00:00,111519,3,0
climatebert/distilroberta-base-climate-detector,2022-03-02 23:29:05+00:00,2023-06-20 18:52:03+00:00,101016,11,82300932
cross-encoder/stsb-distilroberta-base,2022-03-02 23:29:05+00:00,2021-08-05 08:41:53+00:00,92812,3,0
protectai/deberta-v3-base-prompt-injection,2023-11-25 08:09:08+00:00,2024-04-22 14:07:05+00:00,91203,51,184423682
potsawee/deberta-v3-large-mnli,2023-07-18 15:21:49+00:00,2024-01-30 16:37:55+00:00,89807,6,0
qanastek/51-languages-classifier,2022-05-06 07:43:20+00:00,2022-05-19 12:56:56+00:00,88627,32,0
openai-community/roberta-base-openai-detector,2022-03-02 23:29:04+00:00,2024-02-19 12:46:55+00:00,87724,100,125237762
FacebookAI/roberta-large-mnli,2022-03-02 23:29:04+00:00,2024-02-19 12:47:11+00:00,84445,143,356412419
stevhliu/my_awesome_model,2022-09-28 18:41:57+00:00,2023-08-25 00:04:52+00:00,84208,3,66955010
cross-encoder/stsb-roberta-base,2022-03-02 23:29:05+00:00,2021-08-05 08:41:58+00:00,81874,3,0
Hate-speech-CNERG/bert-base-uncased-hatexplain,2022-03-02 23:29:04+00:00,2021-05-25 09:53:05+00:00,79551,17,0
blanchefort/rubert-base-cased-sentiment,2022-03-02 23:29:05+00:00,2023-04-06 04:06:36+00:00,78483,12,177856259
mixedbread-ai/mxbai-rerank-xsmall-v1,2024-02-29 10:31:57+00:00,2024-07-22 14:31:51+00:00,74592,25,70830337
Minej/bert-base-personality,2023-06-06 19:17:08+00:00,2023-07-13 13:11:50+00:00,71505,26,109486597
Hate-speech-CNERG/dehatebert-mono-english,2022-03-02 23:29:04+00:00,2021-09-25 13:55:16+00:00,68868,7,0
HuggingFaceFW/fineweb-edu-classifier,2024-05-06 08:29:34+00:00,2024-06-05 08:40:34+00:00,66021,88,109483009
Hate-speech-CNERG/dehatebert-mono-portugese,2022-03-02 23:29:04+00:00,2021-09-25 13:58:01+00:00,64191,4,0
dima806/news-category-classifier-distilbert,2023-09-26 11:10:10+00:00,2024-03-29 15:33:58+00:00,63291,6,109514538
PulseWave/ACCOUNT-OWNERSHIP,2024-03-01 19:13:59+00:00,2024-03-01 19:16:49+00:00,62418,0,109486464
IDEA-CCNL/Erlangshen-Roberta-330M-Sentiment,2022-04-20 07:15:44+00:00,2023-05-26 04:13:11+00:00,62410,21,325524994
marianna13/bert-multilingual-sentiment,2023-02-20 16:55:42+00:00,2023-02-20 18:33:41+00:00,59326,0,0
ahmedrachid/FinancialBERT-Sentiment-Analysis,2022-03-02 23:29:05+00:00,2022-02-07 14:58:57+00:00,53459,61,0
tareknaous/readabert-en,2024-02-17 00:25:14+00:00,2024-07-17 16:59:06+00:00,52729,0,109486854
koheiduck/bert-japanese-finetuned-sentiment,2022-12-16 04:15:00+00:00,2022-12-20 07:21:09+00:00,50814,13,0
KevSun/Personality_LM,2024-05-01 17:07:36+00:00,2024-07-29 09:39:26+00:00,47675,9,0
sentinet/suicidality,2023-08-31 19:17:44+00:00,2024-01-07 08:40:48+00:00,47093,19,109483778
shahrukhx01/question-vs-statement-classifier,2022-03-02 23:29:05+00:00,2023-03-29 22:01:12+00:00,46350,35,11171586
michellejieli/NSFW_text_classifier,2022-12-10 01:42:56+00:00,2022-12-10 19:59:37+00:00,45673,82,0
cross-encoder/ms-marco-TinyBERT-L-2,2022-03-02 23:29:05+00:00,2021-08-05 08:39:52+00:00,43905,17,0
BlueOrangeDigital/distilbert-cross-segment-document-chunking,2024-02-14 20:36:39+00:00,2024-02-27 19:20:02+00:00,43767,4,66955010
PulseWave/INVOICE-DISPUTE,2024-03-01 19:11:13+00:00,2024-03-01 19:13:56+00:00,41897,0,109486464
astrosbd/french_emotion_camembert,2024-06-12 09:18:57+00:00,2024-06-16 14:29:49+00:00,41707,0,110626566
cross-encoder/ms-marco-electra-base,2022-03-02 23:29:05+00:00,2021-08-05 08:40:12+00:00,39406,4,0
cross-encoder/ms-marco-TinyBERT-L-6,2022-03-02 23:29:05+00:00,2021-08-05 08:40:06+00:00,38031,1,0
CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,2022-03-02 23:29:04+00:00,2021-10-17 11:15:54+00:00,37906,38,0
Dongjin-kr/ko-reranker,2023-12-22 07:50:36+00:00,2024-05-08 03:50:35+00:00,37433,39,559891457
jinaai/jina-reranker-v2-base-multilingual,2024-06-19 09:37:19+00:00,2024-07-17 13:50:09+00:00,36991,131,0
KBLab/robust-swedish-sentiment-multiclass,2023-05-08 09:28:15+00:00,2023-12-08 11:33:36+00:00,36796,6,369558019
mixedbread-ai/mxbai-rerank-large-v1,2024-02-29 16:09:41+00:00,2024-07-22 14:31:19+00:00,34804,88,435062785
s-nlp/roberta_toxicity_classifier,2022-03-02 23:29:05+00:00,2021-10-05 14:54:55+00:00,34723,44,0
unitary/unbiased-toxic-roberta,2022-03-02 23:29:05+00:00,2023-08-18 10:43:39+00:00,34444,14,0
j-hartmann/sentiment-roberta-large-english-3-classes,2022-03-02 23:29:05+00:00,2023-01-02 13:02:49+00:00,34422,18,0
r1char9/rubert-base-cased-russian-sentiment,2024-02-16 04:10:14+00:00,2024-02-16 04:29:08+00:00,33040,7,0
joeddav/distilbert-base-uncased-go-emotions-student,2022-03-02 23:29:05+00:00,2021-02-19 22:15:52+00:00,32187,69,0
alirezamsh/quip-512-mocha,2023-06-01 12:09:39+00:00,2024-03-21 11:22:19+00:00,31667,4,355361283
FinanceInc/auditor_sentiment_finetuned,2022-07-22 16:42:57+00:00,2022-12-12 17:30:43+00:00,31195,16,0
Elron/bleurt-tiny-512,2022-03-02 23:29:04+00:00,2022-11-26 15:13:43+00:00,30433,2,0
nbroad/ESG-BERT,2022-03-02 23:29:05+00:00,2023-04-26 04:50:33+00:00,30280,56,109502746
mixedbread-ai/mxbai-rerank-base-v1,2024-02-29 14:36:24+00:00,2024-07-22 14:31:03+00:00,30193,21,184422913
abbasgolestani/ag-nli-DeTS-sentence-similarity-v2,2023-11-28 16:30:13+00:00,2024-06-27 18:35:00+00:00,29314,3,0
tareknaous/readabert-ar,2024-02-17 00:35:32+00:00,2024-07-17 16:58:07+00:00,29119,0,135197958
cross-encoder/stsb-roberta-large,2022-03-02 23:29:05+00:00,2021-08-05 08:42:03+00:00,28415,8,0
antoinelouis/crossencoder-camembert-large-mmarcoFR,2024-05-03 09:59:08+00:00,2024-05-05 20:20:06+00:00,27797,1,336662529
Intel/bert-base-uncased-mrpc,2022-04-06 07:30:07+00:00,2024-06-21 19:49:09+00:00,27775,2,0
savasy/bert-base-turkish-sentiment-cased,2022-03-02 23:29:05+00:00,2024-02-01 09:18:53+00:00,27608,37,110618882
finiteautomata/bertweet-base-emotion-analysis,2022-03-02 23:29:05+00:00,2023-03-20 14:47:04+00:00,27358,14,134905481
piuba-bigdata/beto-contextualized-hate-speech,2022-11-30 13:09:43+00:00,2023-11-17 18:33:38+00:00,27134,6,109861385
Cohee/distilbert-base-uncased-go-emotions-onnx,2023-09-09 01:11:39+00:00,2023-09-09 01:19:25+00:00,27089,3,0
somosnlp-hackathon-2022/readability-es-3class-paragraphs,2022-04-03 20:08:20+00:00,2023-04-13 08:45:37+00:00,26874,1,124648453
protectai/xlm-roberta-base-language-detection-onnx,2023-11-14 13:45:09+00:00,2024-03-25 12:05:26+00:00,26522,2,0
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,2022-03-02 23:29:04+00:00,2021-10-17 12:09:14+00:00,26347,4,0
bhadresh-savani/bert-base-uncased-emotion,2022-03-02 23:29:05+00:00,2023-03-22 08:43:48+00:00,26078,32,109487366
ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,2022-03-02 23:29:05+00:00,2021-12-22 08:52:47+00:00,25978,10,0
wajidlinux99/gibberish-text-detector,2023-01-16 11:46:09+00:00,2023-01-16 12:15:52+00:00,25875,5,0
wonrax/phobert-base-vietnamese-sentiment,2022-05-03 14:03:13+00:00,2022-05-04 07:30:54+00:00,25849,12,0
thoriqfy/indobert-emotion-classification,2023-05-22 08:26:32+00:00,2023-06-20 04:22:43+00:00,25014,5,335148550
M47Labs/spanish_news_classification_headlines,2022-03-02 23:29:04+00:00,2021-09-07 11:56:58+00:00,24273,2,0
microsoft/Multilingual-MiniLM-L12-H384,2022-03-02 23:29:05+00:00,2022-08-10 07:27:42+00:00,24206,69,0
sasha/regardv3,2022-08-17 16:58:42+00:00,2022-08-17 18:03:37+00:00,23920,1,0
cardiffnlp/twitter-roberta-base-emotion,2022-03-02 23:29:05+00:00,2023-05-28 05:08:00+00:00,23297,42,0
yangheng/deberta-v3-base-absa-v1.1,2022-03-18 23:58:16+00:00,2024-05-01 14:57:21+00:00,23046,36,184424963
lordtt13/emo-mobilebert,2022-03-02 23:29:05+00:00,2023-07-09 15:28:20+00:00,22301,3,21197828
SAPOSS/password-model,2022-03-02 23:29:04+00:00,2022-11-09 10:12:15+00:00,22157,10,0
amberoad/bert-multilingual-passage-reranking-msmarco,2022-03-02 23:29:05+00:00,2022-08-26 13:14:54+00:00,21824,72,0
OpenAssistant/reward-model-deberta-v3-large-v2,2023-02-01 00:13:05+00:00,2023-02-01 00:55:05+00:00,21578,193,0
badmatr11x/distilroberta-base-offensive-hateful-speech-text-multiclassification,2023-03-16 20:52:22+00:00,2023-03-22 06:24:41+00:00,21568,1,0
lvwerra/distilbert-imdb,2022-03-02 23:29:05+00:00,2023-01-25 09:25:22+00:00,21357,19,0
bhadresh-savani/roberta-base-emotion,2022-03-02 23:29:05+00:00,2023-03-22 08:48:07+00:00,21253,2,124650760
gavulsim/distilbert_finetuned_yahoo_answers_topics,2023-10-27 08:19:50+00:00,2023-10-27 09:20:49+00:00,21236,0,0
Overfit-GM/distilbert-base-turkish-cased-offensive,2023-04-03 13:07:25+00:00,2023-04-04 22:25:27+00:00,20633,3,0
nateraw/bert-base-uncased-emotion,2022-03-02 23:29:05+00:00,2021-05-20 01:18:38+00:00,20526,6,0
kenhktsui/fineweb-edu-fasttext-classifier,2024-06-06 07:55:54+00:00,2024-06-06 16:28:47+00:00,20218,0,0
protectai/deberta-v3-base-prompt-injection-v2,2024-04-20 16:52:22+00:00,2024-05-28 07:07:49+00:00,20072,16,184423682
soleimanian/financial-roberta-large-sentiment,2022-05-16 04:09:10+00:00,2022-10-12 21:04:39+00:00,20007,36,0
lucadiliello/BLEURT-20,2023-01-19 14:59:41+00:00,2023-01-19 15:56:04+00:00,19918,1,0
HooshvareLab/bert-fa-base-uncased-sentiment-deepsentipers-binary,2022-03-02 23:29:04+00:00,2021-05-18 20:56:29+00:00,19707,4,0
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,2022-03-02 23:29:05+00:00,2022-12-02 13:49:38+00:00,19346,27,0
Sandrro/text_to_subfunction_v10,2023-07-13 08:23:01+00:00,2023-07-13 16:28:26+00:00,18895,0,0
abbasgolestani/ag-nli-DeTS-sentence-similarity-v1,2023-10-06 16:58:30+00:00,2024-07-10 16:28:48+00:00,18432,0,0
optimum/distilbert-base-uncased-finetuned-sst-2-english,2022-03-24 16:06:17+00:00,2022-06-13 13:43:16+00:00,18349,2,0
jonaskoenig/topic_classification_04,2022-07-20 07:26:43+00:00,2023-09-13 06:40:36+00:00,18201,25,0
protectai/vishnun-codenlbert-sm-onnx,2024-04-11 14:16:33+00:00,2024-04-26 06:13:10+00:00,17999,1,0
textattack/roberta-base-CoLA,2022-03-02 23:29:05+00:00,2021-05-20 22:05:35+00:00,17897,15,0
SamLowe/roberta-base-go_emotions-onnx,2023-09-28 14:07:22+00:00,2023-09-29 00:02:20+00:00,17874,13,0
nanaaaa/BilingualChildEmo,2023-03-05 11:30:32+00:00,2024-03-18 09:03:26+00:00,17840,7,0
mrm8488/bert-tiny-finetuned-sms-spam-detection,2022-03-02 23:29:05+00:00,2023-03-16 17:28:05+00:00,17702,36,4386690
Narasimha/hinglish-distilbert,2022-05-05 08:38:09+00:00,2022-05-05 08:45:20+00:00,17016,0,0
RLHFlow/ArmoRM-Llama3-8B-v0.1,2024-05-23 21:07:26+00:00,2024-07-18 17:11:46+00:00,16819,104,7511320957
textattack/bert-base-uncased-SST-2,2022-03-02 23:29:05+00:00,2021-05-20 07:37:12+00:00,16721,2,0
cross-encoder/quora-distilroberta-base,2022-03-02 23:29:05+00:00,2021-08-05 08:41:31+00:00,15854,1,0
cardiffnlp/tweet-topic-latest-multi,2022-10-25 12:46:40+00:00,2024-03-13 20:59:48+00:00,15807,10,0
Wilsen/fine-tuned-bert-base-multilingual-uncased-sentiment-customer-reviews-on-banks,2024-05-04 17:03:16+00:00,2024-05-18 05:37:12+00:00,14736,1,167360261
AlignmentResearch/robust_llm_pythia-tt-14m-mz-ada-v3,2024-03-15 09:41:50+00:00,2024-03-15 09:41:56+00:00,14602,0,7629056
BAAI/bge-reranker-v2-gemma,2024-03-16 12:09:04+00:00,2024-03-19 09:26:32+00:00,14536,25,2506172416
deepset/deberta-v3-base-injection,2023-05-17 08:59:29+00:00,2023-12-18 15:00:40+00:00,14434,30,184424194
ivanlau/language-detection-fine-tuned-on-xlm-roberta-base,2022-03-02 23:29:05+00:00,2021-12-17 10:33:13+00:00,14398,16,0
cointegrated/rubert-tiny-toxicity,2022-03-02 23:29:05+00:00,2024-05-16 15:05:52+00:00,14104,29,11786245
jarvisx17/japanese-sentiment-analysis,2022-11-15 06:28:39+00:00,2024-01-20 14:45:14+00:00,14064,8,111209218
antoinelouis/crossencoder-mMiniLMv2-L12-mmarcoFR,2023-09-16 21:16:23+00:00,2024-05-06 15:08:14+00:00,13754,0,117641089
jinaai/jina-reranker-v1-turbo-en,2024-04-15 05:45:01+00:00,2024-06-20 06:50:44+00:00,13705,44,37771777
cardiffnlp/tweet-topic-21-multi,2022-06-06 14:52:42+00:00,2023-05-28 04:56:09+00:00,13614,64,0
w11wo/indonesian-roberta-base-sentiment-classifier,2022-03-02 23:29:05+00:00,2023-05-13 04:10:11+00:00,13408,34,124648453
HooshvareLab/bert-fa-base-uncased-sentiment-snappfood,2022-03-02 23:29:04+00:00,2021-05-18 21:00:55+00:00,13389,4,0
gtfintechlab/FOMC-RoBERTa,2023-05-03 16:37:17+00:00,2023-09-12 21:08:45+00:00,13329,7,0
ealvaradob/bert-finetuned-phishing,2023-12-20 18:31:54+00:00,2024-02-07 05:11:47+00:00,13049,8,0
tomh/toxigen_roberta,2022-05-01 13:19:41+00:00,2022-05-01 19:42:09+00:00,12974,8,0
s-nlp/russian_toxicity_classifier,2022-03-02 23:29:05+00:00,2023-03-24 10:55:28+00:00,12752,32,177855490
austinmw/distilbert-base-uncased-finetuned-tweets-sentiment,2022-06-29 21:23:06+00:00,2022-06-29 22:18:47+00:00,12687,2,0
seara/rubert-tiny2-russian-sentiment,2023-05-14 15:21:52+00:00,2023-08-25 19:16:11+00:00,12591,12,29196755
llm-book/bert-base-japanese-v3-marc_ja,2023-06-01 14:29:06+00:00,2023-07-24 06:49:13+00:00,12402,3,0
bergum/xtremedistil-l6-h384-go-emotion,2022-03-02 23:29:05+00:00,2023-03-21 11:55:16+00:00,12368,8,22724508
l-yohai/bigbird-roberta-base-mnli,2022-03-02 23:29:05+00:00,2023-03-26 16:43:58+00:00,12310,0,128065795
tstadel/answer-classification-setfit-v2-binary,2024-01-09 19:53:30+00:00,2024-01-09 19:55:25+00:00,12124,0,109482240
MrezaPRZ/sql-encoder,2024-02-16 20:18:55+00:00,2024-02-16 22:28:30+00:00,11611,0,1280413696
yiyanghkust/finbert-esg-9-categories,2022-10-14 01:16:21+00:00,2022-10-17 00:34:01+00:00,11528,35,0
h-e-l-l-o/email-spam-classification-merged,2023-11-15 08:45:48+00:00,2024-01-09 05:53:08+00:00,11478,3,109483778
chkla/parlbert-topic-german,2022-06-19 18:20:29+00:00,2024-04-08 22:04:53+00:00,11254,9,109098005
navteca/ms-marco-MiniLM-L-6-v2,2022-03-16 09:26:53+00:00,2022-03-16 09:36:49+00:00,11116,2,0
sfairXC/FsfairX-LLaMA3-RM-v0.1,2024-04-20 07:42:52+00:00,2024-04-24 09:34:20+00:00,11109,35,7504932864
yiyanghkust/finbert-esg,2022-05-12 06:53:32+00:00,2022-10-17 00:36:19+00:00,11083,39,0
philschmid/tiny-bert-sst2-distilled,2022-03-02 23:29:05+00:00,2022-01-31 18:50:41+00:00,10971,2,0
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,2023-06-14 06:17:29+00:00,2024-01-19 02:06:53+00:00,10908,33,0
mdhugol/indonesia-bert-sentiment-classification,2022-03-02 23:29:05+00:00,2021-09-14 08:24:28+00:00,10738,19,0
prajjwal1/bert-medium-mnli,2022-03-02 23:29:05+00:00,2021-10-05 17:56:07+00:00,10549,1,0
cross-encoder/msmarco-MiniLM-L12-en-de-v1,2022-03-02 23:29:05+00:00,2021-08-05 08:40:18+00:00,10410,4,0
lucadiliello/BLEURT-20-D12,2023-01-19 15:18:25+00:00,2023-01-19 15:55:33+00:00,10146,0,0
ncbi/MedCPT-Cross-Encoder,2023-11-26 23:03:26+00:00,2023-12-03 00:45:45+00:00,10056,8,0
microsoft/DialogRPT-updown,2022-03-02 23:29:05+00:00,2021-05-23 09:19:13+00:00,10052,9,0
KoalaAI/Text-Moderation,2023-10-05 18:14:54+00:00,2024-03-13 08:56:07+00:00,9938,34,139199753
mesolitica/sentiment-analysis-nanot5-small-malaysian-cased,2023-10-08 07:38:17+00:00,2023-10-08 07:38:48+00:00,9681,0,41623811
vikp/column_detector,2023-11-22 05:53:47+00:00,2023-12-22 05:55:14+00:00,9655,10,0
michiyasunaga/BioLinkBERT-large,2022-03-08 06:20:38+00:00,2022-03-31 00:54:57+00:00,9482,28,0
uer/roberta-base-finetuned-jd-binary-chinese,2022-03-02 23:29:05+00:00,2023-10-17 15:18:49+00:00,9454,23,0
sahil-zzzz/text-classification-for-consumer-query-1,2024-07-03 11:31:16+00:00,2024-07-03 11:31:59+00:00,9313,0,278047493
textattack/roberta-base-MRPC,2022-03-02 23:29:05+00:00,2021-05-20 22:07:47+00:00,9306,1,0
ynie/roberta-large-snli_mnli_fever_anli_R1_R2_R3-nli,2022-03-02 23:29:05+00:00,2021-05-20 23:17:23+00:00,9289,14,0
sgugger/finetuned-bert-mrpc,2022-03-02 23:29:05+00:00,2022-09-02 15:16:33+00:00,9175,0,0
SenswiseData/bert_turkish_sentiment,2024-03-13 15:26:30+00:00,2024-03-13 15:27:32+00:00,9064,1,162844419
climatebert/distilroberta-base-climate-specificity,2022-03-02 23:29:05+00:00,2023-06-20 18:51:33+00:00,8993,0,82300932
echarlaix/distilbert-base-uncased-finetuned-sst-2-english-openvino,2022-10-11 09:43:26+00:00,2022-11-22 10:42:52+00:00,8991,0,0
michiyasunaga/BioLinkBERT-base,2022-03-08 07:22:12+00:00,2022-03-31 00:51:21+00:00,8871,32,0
minuva/MiniLMv2-agentflow-v2-onnx,2024-02-06 12:28:47+00:00,2024-04-24 11:14:48+00:00,8784,2,0
textattack/bert-base-uncased-STS-B,2022-03-02 23:29:05+00:00,2021-05-20 07:38:28+00:00,8774,1,0
nicholasKluge/ToxicityModel,2023-06-07 21:02:36+00:00,2024-06-18 11:26:13+00:00,8715,8,124646401
microsoft/deberta-base-mnli,2022-03-02 23:29:05+00:00,2021-12-09 13:36:31+00:00,8660,3,0
christian-phu/bert-finetuned-japanese-sentiment,2023-04-06 16:43:51+00:00,2023-04-07 17:27:53+00:00,8626,9,0
microsoft/MiniLM-L12-H384-uncased,2022-03-02 23:29:05+00:00,2021-05-19 23:29:48+00:00,8466,64,0
neuraly/bert-base-italian-cased-sentiment,2022-03-02 23:29:05+00:00,2021-09-22 09:29:18+00:00,8230,8,0
sgugger/tiny-distilbert-classification,2022-03-02 23:29:05+00:00,2021-07-29 17:12:02+00:00,8100,1,0
jpsteinhafel/complaints_classifier,2024-02-07 23:28:23+00:00,2024-02-15 04:22:37+00:00,8073,1,0
snunlp/KR-FinBert-SC,2022-03-02 23:29:05+00:00,2022-04-28 05:07:18+00:00,7985,20,0
blizrys/biobert-v1.1-finetuned-pubmedqa,2022-03-02 23:29:05+00:00,2021-09-13 17:56:32+00:00,7963,1,0
Aniemore/rubert-tiny2-russian-emotion-detection,2022-05-22 21:00:03+00:00,2023-04-07 18:08:00+00:00,7795,12,29198007
